host_unix_s,host_elapsed_s,host_dt_s,mcu_timestamp_ms,mcu_elapsed_s,response_status,terminated,pendulum_angle_deg,pendulum_error_deg,pendulum_velocity_dps_est,rotor_angle_deg,rotor_velocity_dps_est,motor_speed_pps_observed,l6474_status_raw
1789388393.4600065,0.010124700027517974,,372160,0.0,0,False,0.0,-180.0,,0.0,,0.0,65027
1789388393.474602,0.025921200052835047,0.015796500025317073,372177,0.017,0,False,0.0,-180.0,0.0,0.0,0.0,0.0,65027
1789388393.4957669,0.04655480000656098,0.020633599953725934,372197,0.037,0,False,0.0,-180.0,0.0,0.0,0.0,0.0,65027
1789388393.5171545,0.06768550002016127,0.02113070001360029,372217,0.057,0,False,0.0,-180.0,0.0,0.0,0.0,0.0,65027
1789388393.5357618,0.08650040009524673,0.01881490007508546,372238,0.078,0,False,0.0,-180.0,0.0,0.0,0.0,0.0,65027
1789388393.5554814,0.10601580003276467,0.01951539993751794,372257,0.097,0,False,0.0,-180.0,0.0,0.0,0.0,0.0,65027
1789388393.5753644,0.12617080006748438,0.020155000034719706,372278,0.118,0,False,0.0,-180.0,0.0,0.0,0.0,0.0,65027
1789388393.5975502,0.14775440003722906,0.021583599969744682,372298,0.138,0,False,0.0,-180.0,0.0,0.0,0.0,0.0,65027
1789388393.6175013,0.16833600006066263,0.020581600023433566,372318,0.158,0,False,0.0,-180.0,0.0,0.0,0.0,0.0,65027
1789388393.6361456,0.1864228000631556,0.018086800002492964,372338,0.178,0,False,0.0,-180.0,0.0,0.0,0.0,0.0,65027
1789388393.6551485,0.2058586000930518,0.0194358000298962,372358,0.198,0,False,0.0,-180.0,0.0,0.0,0.0,0.0,65027
1789388393.6751013,0.22605910000856966,0.020200499915517867,372378,0.218,0,False,0.0,-180.0,0.0,0.0,0.0,0.0,65027
1789388393.7092674,0.26003620005212724,0.033977100043557584,372412,0.252,0,False,0.0,-180.0,0.0,0.0,0.0,0.0,65027
1789388393.717278,0.2674464000156149,0.007410199963487685,372419,0.259,0,False,0.0,-180.0,0.0,0.0,0.0,0.0,65027
1789388393.7364495,0.28727440000511706,0.019827999989502132,372439,0.279,0,False,0.0,-180.0,0.0,0.0,0.0,0.0,65027
1789388393.7554152,0.3063094000099227,0.019035000004805624,372459,0.299,0,False,0.0,-180.0,0.0,0.0,0.0,0.0,65027
1789388393.7748888,0.325843800092116,0.019534400082193315,372479,0.319,0,False,0.0,-180.0,0.0,0.0,0.0,0.0,65027
1789388393.7974834,0.34846240002661943,0.022618599934503436,372500,0.34,0,False,0.0,-180.0,0.0,0.0,0.0,0.0,65027
1789388393.8166268,0.3668917000759393,0.018429300049319863,372519,0.359,0,False,0.0,-180.0,0.0,0.0,0.0,0.0,65027
1789388393.8357458,0.3859899000963196,0.019098200020380318,372539,0.379,0,False,0.0,-180.0,0.0,0.0,0.0,0.0,65027
1789388393.8566616,0.40689510002266616,0.02090519992634654,372560,0.4,0,False,0.0,-180.0,0.0,0.0,0.0,0.0,65027
1789388393.8756738,0.426316500059329,0.019421400036662817,372580,0.42,0,False,0.0,-180.0,0.0,0.0,0.0,0.0,65027
1789388393.8955698,0.4456306000938639,0.01931410003453493,372600,0.44,0,False,0.0,-180.0,0.0,0.0,0.0,0.0,65027
1789388393.9158971,0.4674167000921443,0.021786099998280406,372620,0.46,0,False,0.0,-180.0,0.0,0.0,0.0,0.0,65027
1789388393.936119,0.48649380006827414,0.01907709997612983,372640,0.48,0,False,0.0,-180.0,0.0,0.0,0.0,0.0,65027
1789388393.9560678,0.5070096000563353,0.02051579998806119,372661,0.501,0,False,0.0,-180.0,0.0,0.0,0.0,0.0,65027
1789388393.9756155,0.525846500066109,0.01883690000977367,372681,0.521,0,False,0.0,-180.0,0.0,0.0,0.0,0.0,65027
1789388393.9947371,0.5460694000357762,0.020222899969667196,372701,0.541,0,False,0.0,-180.0,0.0,0.0,0.0,0.0,65027
1789388394.01643,0.5666810000548139,0.020611600019037724,372721,0.561,0,False,0.0,-180.0,0.0,0.0,0.0,0.0,65027
1789388394.0357926,0.586731499992311,0.02005049993749708,372741,0.581,0,False,0.0,-180.0,0.0,0.0,0.0,0.0,65027
1789388394.0563738,0.6072897000703961,0.020558200078085065,372762,0.602,0,False,0.0,-180.0,0.0,0.0,0.0,0.0,65027
1789388394.075907,0.6263758999994025,0.019086199929006398,372781,0.621,0,False,0.0,-180.0,0.0,0.0,0.0,0.0,65027
1789388394.0959175,0.646688700071536,0.02031280007213354,372801,0.641,0,False,0.0,-180.0,0.0,0.0,0.0,0.0,65027
1789388394.1164353,0.6671651999931782,0.020476499921642244,372822,0.662,0,False,0.0,-180.0,0.0,0.0,0.0,0.0,65027
1789388394.1374054,0.6875097000738606,0.020344500080682337,372842,0.682,0,False,0.0,-180.0,0.0,0.0,0.0,0.0,65027
1789388394.1552813,0.7060372000560164,0.01852749998215586,372862,0.702,0,False,0.0,-180.0,0.0,0.0,0.0,0.0,65027
1789388394.1758544,0.7267039000289515,0.02066669997293502,372882,0.722,0,False,0.0,-180.0,0.0,0.0,0.0,0.0,65027
1789388394.194405,0.7451102000195533,0.018406299990601838,372902,0.742,0,False,0.0,-180.0,0.0,0.0,0.0,0.0,65027
1789388394.215703,0.766948000062257,0.021837800042703748,372922,0.762,0,False,0.0,-180.0,0.0,0.0,0.0,0.0,65027
1789388394.2345665,0.7853455001022667,0.018397500040009618,372943,0.783,0,False,0.0,-180.0,0.0,0.0,0.0,0.0,65027
1789388394.2535822,0.8044074000790715,0.019061899976804852,372963,0.803,0,False,0.0,-180.0,0.0,0.0,0.0,0.0,65027
1789388394.2731736,0.824124600039795,0.01971719996072352,372983,0.823,0,False,0.0,-180.0,0.0,0.0,0.0,0.0,65027
1789388394.2943442,0.8453057000879198,0.02118110004812479,373003,0.843,0,False,0.0,-180.0,0.0,0.0,0.0,0.0,65027
1789388394.3162625,0.8669396000914276,0.021633900003507733,373023,0.863,0,False,0.0,-180.0,0.0,0.0,0.0,0.0,65027
1789388394.3364856,0.8872088000643998,0.020269199972972274,373044,0.884,0,False,0.0,-180.0,0.0,0.0,0.0,0.0,65027
1789388394.3550797,0.9059233000734821,0.018714500009082258,373064,0.904,0,False,0.0,-180.0,0.0,0.0,0.0,0.0,65027
1789388394.375354,0.9255936000263318,0.019670299952849746,373084,0.924,0,False,0.0,-180.0,0.0,0.0,0.0,0.0,65027
1789388394.3940976,0.9453481000382453,0.01975450001191348,373104,0.944,0,False,0.0,-180.0,0.0,0.0,0.0,0.0,65027
1789388394.4164712,0.966592000098899,0.021243900060653687,373124,0.964,0,False,0.0,-180.0,0.0,0.0,0.0,0.0,65027
1789388394.435045,0.9855414000339806,0.0189493999350816,373144,0.984,0,False,0.0,-180.0,0.0,0.0,0.0,0.0,65027
1789388394.4541547,1.0043933000415564,0.01885190000757575,373164,1.004,0,False,0.0,-180.0,0.0,0.0,0.0,0.0,65027
